title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count
Evolutionärer Humanismus,0,contested,culture,Culture.Philosophy_and_religion,de,2.6435,0.0584,46,17,116,6283,0.0,0,2656,5,4220
Ästhetische Theorie,1,stable,culture,Culture.Media.Media*,de,0.0,0.0412,37,11,58,6252,0.004,0,2627,12,3826
Franz Eibel,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,4.7574,0.0118,81,11,30,5239,0.0,0,368,5,2499
Wieladingen (Adelsgeschlecht),1,stable,geography,Geography.Regions.Europe.Europe*,de,1.7045,0.0296,26,10,34,5380,0.0,0,809,7,2128
Fluglärm,0,contested,science,STEM.STEM*,de,3.4396,0.0571,93,39,97,4818,0.008,0,1257,17,8782
Spezielle Relativitätstheorie,1,stable,science,STEM.Physics,de,0.59,0.0787,17,22,147,4911,0.018,0,2924,12,7138
Armenisch-iranische Beziehungen,0,contested,geography,Geography.Regions.Asia.West_Asia,de,0.0,0.0303,33,5,16,2922,0.0,0,210,2,1595
Absturz einer MiG-21 in Cottbus 1975,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,3.3613,0.0556,32,8,72,2960,0.015,0,4536,19,1838
Geschichte der Volksrepublik China,0,contested,geography,Geography.Regions.Asia.East_Asia,de,3.5298,0.0176,191,43,49,4514,0.007,0,365,5,9016
Neukirchen (Gemeinde Altmünster),1,stable,geography,Geography.Regions.Europe.Western_Europe,de,1.7278,0.0315,76,27,86,4920,0.0,0,4442,16,7451
Karl Haushofer,0,contested,culture,Culture.Biography.Biography*,de,0.4719,0.0,25,9,201,7382,0.008,0,5432,15,4928
Jüdisches Museum Westfalen,1,stable,culture,Culture.Philosophy_and_religion,de,0.2893,0.0041,45,22,166,7377,0.003,0,1404,12,4843
Mobile Jugendarbeit,0,contested,politics_history,History_and_Society.Society,de,1.5049,0.0246,15,17,76,6853,0.0,0,171,7,3140
Mayaguez-Zwischenfall,1,stable,politics_history,History_and_Society.Military_and_warfare,de,1.2682,0.0,35,16,105,6859,0.0,0,1330,18,3187
Elektrokonvulsionstherapie,0,contested,science,STEM.Medicine_&_Health,de,0.4721,0.0092,71,20,116,4075,0.008,0,16022,19,4584
Spirostachys africana,1,stable,science,STEM.STEM*,de,0.0,0.3333,165,23,69,4581,0.003,0,7107,10,3902
Westdeutsche Studentenbewegung der 1960er Jahre,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,1.4425,0.0056,43,28,268,6286,0.006,0,249,27,7487
Schloss Beuggen,1,stable,geography,Geography.Regions.Europe.Europe*,de,1.7769,0.0377,57,28,148,6546,0.004,0,159,18,7303
Ernst Melchior,0,contested,culture,Culture.Sports,de,0.905,0.0175,37,8,39,7254,0.0,0,209,3,1935
Vincenz Grimm,1,stable,culture,Culture.Sports,de,2.0877,0.0097,18,7,76,6786,0.012,1,1812,10,2044
Backhefe,0,contested,science,STEM.STEM*,de,0.0,0.0537,42,18,315,6333,0.042,0,4399,30,4108
Wellensittich,1,stable,science,STEM.Biology,de,3.0012,0.0392,114,16,191,6270,0.006,0,9605,34,4014
Multikulturalismus,0,contested,geography,Geography.Regions.Europe.Europe*,de,3.3875,0.0303,27,9,290,8291,0.002,0,3655,31,2029
Jiang Wei,1,stable,geography,Geography.Regions.Asia.East_Asia,de,2.1231,0.0,0,9,73,8341,0.0,0,414,7,1997
Zeitfreiwilligenverband,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,2.6247,0.0,23,9,18,2659,0.06,0,726,4,1763
Soo Line High Bridge,1,stable,geography,Geography.Regions.Americas.North_America,de,0.0,0.0116,20,10,25,2461,0.008,0,293,3,1834
Witness Lee,0,contested,culture,Culture.Philosophy_and_religion,de,5.3286,0.0197,121,26,106,5700,0.006,0,746,9,6674
Curling,1,stable,culture,Culture.Sports,de,1.6442,0.0294,28,47,265,5929,0.03,0,499,24,6780
Alois Windisch,0,contested,politics_history,History_and_Society.Military_and_warfare,de,0.0,0.009,14,12,64,6198,0.0,0,448,9,1749
U-Boot mit Marschflugkörpern,1,stable,politics_history,History_and_Society.Military_and_warfare,de,0.6345,0.03,12,10,53,6205,0.0,0,1708,13,1823
GEMA-freie Musik,0,contested,politics_history,History_and_Society.Politics_and_government,de,3.2803,0.0495,21,12,269,6836,0.002,0,3081,29,4401
Landmine,1,stable,politics_history,History_and_Society.Military_and_warfare,de,2.9365,0.048,29,18,278,6744,0.016,0,8265,28,4332
Tuileriensturm,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,4.9391,0.005,8,17,150,6752,0.04,0,561,5,3280
Christian Precht,1,stable,geography,Geography.Regions.Europe.Europe*,de,3.6352,0.0649,2,11,61,6889,0.0,0,1604,3,3186
Beichte,0,contested,culture,Culture.Philosophy_and_religion,de,2.0229,0.0567,39,35,225,5299,0.028,0,5585,25,7520
Francis Bacon,1,stable,culture,Culture.Philosophy_and_religion,de,1.9291,0.0099,63,27,228,5114,0.014,0,18,22,7111
Liber AL vel Legis,0,contested,culture,Culture.Philosophy_and_religion,de,5.301,0.088,49,21,131,7730,0.002,0,113,8,8853
Picket Fences – Tatort Gartenzaun,1,stable,culture,Culture.Media.Media*,de,1.93,0.0383,53,26,130,7658,0.003,0,939,13,7688
"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",0,contested,geography,Geography.Regions.Asia.West_Asia,de,7.6239,0.006,79,29,62,565,0.004,0,108,1,5111
Wälder und Wiesen bei Malsch,1,stable,geography,Geography.Geographical,de,2.8926,0.0516,75,35,22,804,0.0,0,2841,4,4405
Institut für Zeitgeschichte,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,2.0153,0.0417,46,12,154,7983,0.014,0,1356,15,3634
Urnenfelderkultur,1,stable,geography,Geography.Regions.Europe.Europe*,de,1.506,0.0875,20,14,182,8134,0.0,0,2744,23,3438
Humanitäre Intervention,0,contested,politics_history,History_and_Society.Politics_and_government,de,3.0196,0.0296,9,13,134,8070,0.004,0,2316,21,2407
Projekt A119,1,stable,politics_history,History_and_Society.Military_and_warfare,de,4.5872,0.0141,33,10,122,8033,0.0,0,4834,5,2352
Weltraumhabitat,0,contested,science,STEM.STEM*,de,1.1891,0.0405,49,22,191,5444,0.004,0,595,3,4891
Raffinerieexplosion in Texas City,1,stable,science,STEM.STEM*,de,2.3127,0.0,69,22,60,5195,0.004,0,3595,11,4849
Klassenpolitik,0,contested,politics_history,History_and_Society.Politics_and_government,de,0.0,0.0431,38,11,64,5247,0.0,1,268,14,2527
Tabernae (Rheinzabern),1,stable,politics_history,History_and_Society.History,de,0.4771,0.0165,17,14,43,5545,0.0,0,672,2,2493
Kennedy-Methode,0,contested,science,STEM.Medicine_&_Health,de,2.8103,0.0917,3,11,32,7211,0.0,0,567,7,2231
Galle,1,stable,science,STEM.STEM*,de,1.1325,0.0841,17,13,273,7649,0.01,0,425,23,2257
Tiroler Festspiele Erl,0,contested,culture,Culture.Media.Music,de,1.0753,0.0128,21,9,78,5566,0.004,0,232,6,2212
Slughorn,1,stable,culture,Culture.Literature,de,0.7246,0.1333,21,6,48,5642,0.009,0,4251,10,2067
Heinrich von Brentano,0,contested,culture,Culture.Biography.Biography*,de,2.2779,0.0,17,9,214,8229,0.014,0,6389,9,1727
Geschmackliche Schärfe,1,stable,culture,Culture.Food_and_drink,de,0.0,0.0667,8,14,269,8128,0.002,1,739,23,1890
Bulgarische Wiedergeburt,0,contested,geography,Geography.Regions.Europe.Eastern_Europe,de,0.7375,0.0,20,14,123,7138,0.007,0,3283,12,4416
Elisabeth von Weida,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,4.0952,0.0125,17,10,83,7118,0.0,0,811,7,4396
Schulweg,0,contested,politics_history,History_and_Society.Transportation,de,2.449,0.0429,21,9,71,7342,0.007,0,204,10,1634
Operation Earnest Will,1,stable,politics_history,History_and_Society.Military_and_warfare,de,1.3432,0.0,3,9,74,7322,0.0,0,460,5,1676
Lindisfarne Castle,0,contested,geography,Geography.Regions.Europe.Northern_Europe,de,2.7907,0.0333,30,7,124,7600,0.004,0,615,2,1782
Eliezer Ben-Jehuda,1,stable,geography,Geography.Regions.Asia.West_Asia,de,0.0,0.0101,7,9,152,7577,0.007,0,42,21,1931
Apadravya,0,contested,science,STEM.STEM*,de,4.6512,0.1148,16,9,67,7570,0.026,1,370,12,2037
Laufhühnchen,1,stable,science,STEM.STEM*,de,0.0,0.0541,6,15,59,7514,0.0,1,1323,5,1999
Spervogelton,0,contested,culture,Culture.Media.Music,de,3.5608,0.0408,61,14,19,5740,0.071,0,98,2,3667
Year Zero,1,stable,culture,Culture.Media.Media*,de,2.1333,0.0606,80,18,58,5529,0.02,0,1250,6,3494
MHealth,0,contested,science,STEM.STEM*,de,5.7013,0.0153,55,22,35,3992,0.026,0,350,4,3078
Fraktursonografie,1,stable,science,STEM.Medicine_&_Health,de,3.663,0.1528,55,23,38,4153,0.058,0,4819,11,3136
Sozionik und intertypische Beziehungen,0,contested,science,STEM.STEM*,de,0.1916,0.0884,94,26,189,7440,0.006,0,5999,24,8239
Porsche 930,1,stable,science,STEM.STEM*,de,0.4652,0.005,87,18,99,7511,0.006,0,1760,18,6837
Bürgerversicherung,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,11.0544,0.012,22,11,274,8330,0.002,1,6062,29,1641
Grunewaldsee,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,0.0,0.0112,2,14,86,7961,0.015,0,1043,13,1514
Kuno Raeber,0,contested,culture,Culture.Biography.Biography*,de,1.2618,0.0112,7,13,46,6648,0.014,0,206,2,1776
Garfield Akers,1,stable,culture,Culture.Media.Music,de,0.9766,0.0,17,10,60,7209,0.007,0,1904,14,1516
Wandervogel,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,1.2098,0.0081,67,23,230,7632,0.006,0,224,25,7752
Ziehenschule,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,2.4696,0.0,53,24,214,7637,0.014,0,3307,10,7411
GS1,0,contested,politics_history,History_and_Society.Business_and_economics,de,0.0,0.0323,76,14,120,6574,0.052,0,325,10,2105
"Seawolf (U-Boot, 1957)",1,stable,politics_history,History_and_Society.Military_and_warfare,de,0.5562,0.0091,8,10,49,6750,0.0,0,2501,9,2077
Franz Ruppert,0,contested,culture,Culture.Biography.Biography*,de,3.639,0.0233,51,18,86,4336,0.014,0,1184,14,3026
Wilhelm Kühnert,1,stable,culture,Culture.Biography.Biography*,de,0.8382,0.0,38,14,35,4915,0.022,0,2018,5,3270
Sanktuarium der Barmherzigkeit Gottes,0,contested,culture,Culture.Philosophy_and_religion,de,3.614,0.0515,9,13,34,4935,0.033,0,37,2,3222
GateKeeper (Cedar Point),1,stable,culture,Culture.Media.Entertainment,de,1.2285,0.0198,78,11,62,5010,0.029,0,697,10,3262
