title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count,trends_avg,partisan_density,causal_density
Alen Hadzic,0,contested,culture,Culture.Biography.Biography*,en,1.1403,0.0476,94,9,44,1029,0.017,1,2054,13,2855,,0.0,3.4208
Raiden Shogun,1,stable,geography,Geography.Regions.Asia.East_Asia,en,0.0,0.0732,77,6,158,1691,0.201,1,1202,16,3313,,0.0,0.0
Sheikh Said,0,contested,geography,Geography.Regions.Asia.West_Asia,en,3.1819,0.0066,111,16,225,7385,0.024,0,1057,24,5940,,0.2893,3.4712
John Rowan (Kentucky politician),1,stable,geography,Geography.Regions.Americas.North_America,en,1.1737,0.0163,186,11,98,7502,0.025,0,238,24,6358,,0.0,1.5649
Quazi Sazzad Ali Zahir,0,contested,culture,Culture.Biography.Biography*,en,0.0,0.0444,15,8,42,2116,0.015,0,46,5,1600,,0.0,0.9259
Enjoy Yourself (Pop Smoke song),1,stable,culture,Culture.Media.Music,en,0.0,0.0244,30,8,25,2129,0.065,0,43,10,1616,,0.0,2.0812
Young-min Kim,0,contested,culture,Culture.Biography.Biography*,en,0.6112,0.0435,22,12,22,997,0.019,0,20,5,2234,,0.0,0.6112
2024 World Athletics Indoor Championships – Women's 4 × 400 metres relay,1,stable,culture,Culture.Sports,en,0.0,0.0,34,8,18,789,0.011,0,70,6,2035,,0.0,1.2484
Polisario Front,0,contested,geography,Geography.Regions.Africa.Africa*,en,1.4828,0.0667,39,22,245,2557,0.076,0,18995,15,4643,,0.0,3.8553
Sunset Park (Brooklyn park),1,stable,geography,Geography.Regions.Americas.North_America,en,0.0,0.0412,116,15,22,2516,0.041,0,131,10,4272,,0.0,2.2535
Battle of Hatikvah Neighborhood,0,contested,geography,Geography.Regions.Asia.West_Asia,en,0.6653,0.0128,12,5,19,557,0.395,0,101,5,1903,,0.0,2.6613
Gay's Anatomy,1,stable,geography,Geography.Regions.Americas.North_America,en,0.0,0.0545,21,8,16,781,0.169,0,179,8,1834,,0.0,2.9732
Nanobubble,0,contested,science,STEM.STEM*,en,0.0,0.0732,55,5,20,760,0.18,0,174,3,2134,,0.0,12.5945
"Tornado outbreak of February 12, 1945",1,stable,science,STEM.Earth_and_environment,en,0.0,0.0,52,6,33,1070,0.101,0,227,8,2357,,0.0,0.0
Farmworkers in the United States,0,contested,geography,Geography.Regions.Americas.North_America,en,0.7026,0.0474,146,14,39,1452,0.178,0,130,5,7111,,0.0,4.2155
Armistead Abraham Lilly,1,stable,geography,Geography.Regions.Americas.North_America,en,0.0,0.0227,146,11,19,1564,0.033,0,89,7,5974,,0.0,0.5507
Kuwaiti political gridlock,0,contested,culture,Culture.Biography.Biography*,en,1.4052,0.0208,78,17,20,757,0.034,0,84,3,3775,,0.0,0.4684
