title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f3_original_recomputed,f3_no_generic_quantifiers,f4_current_ratio_min3,f4_expanded_smoothed_ratio,f5_original_reproduced,f5_revised,f6_contrastive_recomputed,f7_mtld_recomputed
Evolutionärer Humanismus,0,contested,culture,4220,6283,2.3696682464454977,5.450236966824645,4.739336492890995,0.0,0.3181818181818182,0.9464,0.7054,10.574,204.5467
Ästhetische Theorie,1,stable,culture,3826,6252,0.7841087297438578,4.704652378463147,4.443282801881861,0.0,0.59375,0.9756,0.6098,5.6818,123.7205
Franz Eibel,0,contested,geography,2499,5239,0.4001600640256103,2.4009603841536613,0.8003201280512205,,0.25,1.0,0.9474,1.9029,86.0646
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,5380,11.278195488721805,0.0,0.0,0.0,0.0454545454545454,1.0,0.9516,6.8182,93.9958
Fluglärm,0,contested,science,8782,4818,0.2277385561375541,3.5299476201320883,1.0248235026189934,0.0,0.34375,1.0,0.9643,7.8174,135.3197
Spezielle Relativitätstheorie,1,stable,science,7138,4911,0.7004763239002523,2.3816195012608574,0.980666853460353,0.0416666666666666,0.06,0.9784,0.7273,7.6696,99.1835
Armenisch-iranische Beziehungen,0,contested,geography,1595,2922,1.2539184952978055,0.6269592476489029,0.6269592476489029,,0.5,1.0,0.9,9.6308,106.4484
Absturz einer MiG-21 in Cottbus 1975,1,stable,geography,1838,2960,0.0,0.544069640914037,0.544069640914037,,0.1666666666666666,1.0,0.9667,3.3613,108.4
Geschichte der Volksrepublik China,0,contested,geography,9016,4514,0.0,2.5510204081632653,0.9982253771073646,0.1,0.5,1.0,0.9832,6.7067,118.2792
Neukirchen (Gemeinde Altmünster),1,stable,geography,7451,4920,0.5368406925244934,2.01315259696685,0.9394712119178632,0.0,0.05,1.0,0.9421,2.8796,141.911
Karl Haushofer,0,contested,culture,4928,7382,0.0,2.435064935064935,1.8262987012987013,0.25,0.4166666666666667,0.994,0.9096,4.4832,175.5014
Jüdisches Museum Westfalen,1,stable,culture,4843,7377,0.6194507536650836,1.4453850918851952,0.4129671691100557,0.2,0.25,1.0,0.9545,2.0249,149.7822
Mobile Jugendarbeit,0,contested,politics_history,3140,6853,0.6369426751592356,2.229299363057325,0.6369426751592356,0.0,0.3571428571428571,0.9868,0.7237,0.7524,117.3332
Mayaguez-Zwischenfall,1,stable,politics_history,3187,6859,0.0,2.196422968308754,0.9413241292751804,,0.8333333333333334,1.0,0.9846,5.707,137.1255
Elektrokonvulsionstherapie,0,contested,science,4584,4075,0.4363001745200698,0.8726003490401396,0.4363001745200698,0.0,0.4166666666666667,0.9857,0.9286,4.7214,160.1315
Spirostachys africana,1,stable,science,3902,4581,0.0,0.0,0.0,,0.5,1.0,1.0,0.0,
Westdeutsche Studentenbewegung der 1960er Jahre,0,contested,geography,7487,6286,0.4006945371978095,3.873380526245492,2.2706023774542543,0.3333333333333333,0.7571428571428571,0.996,0.9153,4.6482,189.4157
Schloss Beuggen,1,stable,geography,7303,6546,1.9170204025742847,1.0954402300424482,0.273860057510612,0.375,0.5,1.0,0.9721,2.5666,95.4319
Ernst Melchior,0,contested,culture,1935,7254,1.0335917312661498,1.550387596899225,1.0335917312661498,,0.75,1.0,0.8889,6.3348,96.3472
Vincenz Grimm,1,stable,culture,2044,6786,1.467710371819961,1.467710371819961,0.9784735812133072,0.0,0.0555555555555555,1.0,0.8696,4.8713,153.7956
Backhefe,0,contested,science,4108,6333,0.486854917234664,2.1908471275559886,1.2171372930866602,,0.25,1.0,0.9435,2.4289,76.0299
Wellensittich,1,stable,science,4014,6270,0.4982561036372695,1.7438963627304436,0.4982561036372695,0.0,0.1,0.975,0.8875,3.6014,218.0331
Multikulturalismus,0,contested,geography,2029,8291,0.0,4.928536224741252,1.4785608674223756,0.0,0.55,0.96,0.44,6.0976,210.9407
Jiang Wei,1,stable,geography,1997,8341,1.00150225338007,2.00300450676014,1.00150225338007,0.3333333333333333,0.5,1.0,0.9785,14.862,117.1141
Zeitfreiwilligenverband,0,contested,geography,1763,2659,2.268859897901305,2.268859897901305,1.1344299489506524,,0.8333333333333334,1.0,0.9412,2.6247,170.6685
Soo Line High Bridge,1,stable,geography,1834,2461,0.0,1.6357688113413305,0.5452562704471101,,0.25,1.0,0.9756,0.7899,64.3424
Witness Lee,0,contested,culture,6674,5700,1.198681450404555,5.543901708121067,5.094396164219359,0.0,0.1785714285714285,0.9675,0.8211,6.2167,83.7257
Curling,1,stable,culture,6780,5929,0.1474926253687315,1.6224188790560472,0.4424778761061947,0.0,0.0555555555555555,0.9939,0.9202,3.6172,112.4152
Alois Windisch,0,contested,politics_history,1749,6198,0.0,0.0,0.0,,0.75,1.0,0.925,2.9985,86.779
U-Boot mit Marschflugkörpern,1,stable,politics_history,1823,6205,0.0,0.5485463521667581,0.0,,0.5,1.0,1.0,11.4213,137.8894
GEMA-freie Musik,0,contested,politics_history,4401,6836,3.1810952056350827,2.2722108611679164,2.2722108611679164,0.0,0.75,0.9481,0.8593,7.57,146.6664
Landmine,1,stable,politics_history,4332,6744,0.2308402585410895,4.1551246537396125,0.9233610341643582,0.0,0.3,0.9948,0.8763,7.7416,177.9476
Tuileriensturm,0,contested,geography,3280,6752,0.9146341463414634,4.573170731707317,2.4390243902439024,0.3333333333333333,0.375,0.9929,0.9643,7.5733,130.7179
Christian Precht,1,stable,geography,3186,6889,7.219083490269931,3.138731952291274,1.2554927809165095,0.0,0.0833333333333333,0.9924,0.9545,4.957,122.9911
Beichte,0,contested,culture,7520,5299,0.9308510638297872,3.0585106382978724,1.5957446808510638,0.0909090909090909,0.5434782608695652,0.9871,0.7759,4.7202,139.418
Francis Bacon,1,stable,culture,7111,5114,2.250035156799325,4.781324708198566,3.3750527351989876,0.28,0.4714285714285714,0.988,0.812,4.209,170.5782
Liber AL vel Legis,0,contested,culture,8853,7730,1.4684287812041117,2.5979893821303515,2.0332090816672315,0.074074074074074,0.203125,0.9619,0.6619,5.13,125.1685
Picket Fences – Tatort Gartenzaun,1,stable,culture,7688,7658,0.6503642039542143,3.1217481789802286,2.4713839750260145,0.2222222222222222,0.5833333333333334,1.0,0.9193,5.3076,114.6508
"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",0,contested,geography,5111,565,1.1739385638818234,2.934846409704559,2.15222070045001,0.0357142857142857,0.2948717948717949,1.0,0.9167,5.4003,155.8167
Wälder und Wiesen bei Malsch,1,stable,geography,4405,804,0.681044267877412,0.9080590238365494,0.4540295119182747,,0.1666666666666666,0.9891,0.913,0.0,153.1808
Institut für Zeitgeschichte,0,contested,geography,3634,7983,0.0,3.026967528893781,2.476609796367639,,0.5833333333333334,1.0,0.8864,0.4031,129.1552
Urnenfelderkultur,1,stable,geography,3438,8134,2.9086678301337985,2.326934264107039,1.1634671320535197,,0.25,1.0,0.9107,12.0482,102.7128
Humanitäre Intervention,0,contested,politics_history,2407,8070,1.2463647694225175,4.154549231408392,2.077274615704196,,0.7727272727272727,0.9677,0.7419,3.5229,180.8984
Projekt A119,1,stable,politics_history,2352,8033,0.8503401360544217,1.2755102040816326,1.2755102040816326,0.1111111111111111,0.15,1.0,0.8627,5.8978,154.5175
