model,feature,feature_label,n_pairs,mean_pair_diff,pct_contested_higher,p_raw,effect_r,p_holm
Original available,f1_original_recomputed,F1 original,142,-0.2376227390110927,42.95774647887324,0.28760603383315464,0.187043488427611,0.5069405517613408
Original available,f3_original_recomputed,F3 original,142,0.38778989959569743,61.97183098591549,0.014826192951340364,0.2044746769334277,0.08895715770804219
Original available,f4_current_ratio_min3,F4 original,46,0.052624213604157075,39.130434782608695,0.0473986117514091,0.6838094219957415,0.1895944470056364
Original available,f5_original_reproduced,F5 original,141,-0.002320567375886521,24.113475177304963,0.021369823602035848,0.6179730830810091,0.10684911801017924
Original available,f6_contrastive_recomputed,F6 original recomputed,142,-0.6576183098591549,39.436619718309856,0.04765466171127558,0.16619441982261465,0.1895944470056364
Original available,f7_mtld_recomputed,F7 original recomputed,140,5.344795000000001,56.42857142857143,0.2534702758806704,0.09651331066646464,0.5069405517613408
Improved available,f1_original_recomputed,F1 original,142,-0.2376227390110927,42.95774647887324,0.28760603383315464,0.187043488427611,0.5069405517613408
Improved available,f3_no_generic_quantifiers,F3 no generic quantifiers,142,0.3039356592776861,56.33802816901409,0.024287904656225545,0.24873622421780528,0.09715161862490218
Improved available,f4_expanded_smoothed_ratio,F4 expanded smoothed ratio,142,0.0751168016432159,57.74647887323944,0.0032134667057099986,0.34794019409649707,0.01928080023425999
Improved available,f5_revised,F5 revised robustness,141,-0.02439787234042553,39.00709219858156,0.010702820163036225,0.22488292674172186,0.053514100815181126
Improved available,f6_contrastive_recomputed,F6 original recomputed,142,-0.6576183098591549,39.436619718309856,0.04765466171127558,0.16619441982261465,0.14296398513382674
Improved available,f7_mtld_recomputed,F7 original recomputed,140,5.344795000000001,56.42857142857143,0.2534702758806704,0.09651331066646464,0.5069405517613408
