title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f1_lexical_only,f1_konjunktiv_ii_only,f1_no_generic_verbs,f1_strong_uncertainty_only,f1_lexical_count,f1_konjunktiv_ii_count,f1_no_generic_count,f1_strong_uncertainty_count
Evolutionärer Humanismus,0,contested,culture,4220,6283,2.3696682464454977,1.8957345971563981,0.47393364928909953,1.8957345971563981,0.47393364928909953,8,2,6,2
Ästhetische Theorie,1,stable,culture,3826,6252,0.7841087297438578,0.7841087297438578,0.0,0.2613695765812859,0.0,3,0,1,0
Franz Eibel,0,contested,geography,2499,5239,0.4001600640256103,0.4001600640256103,0.0,0.4001600640256103,0.4001600640256103,1,0,1,1
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,5380,11.278195488721805,10.338345864661653,0.9398496240601504,9.868421052631579,7.518796992481203,22,2,19,16
Fluglärm,0,contested,science,8782,4818,0.2277385561375541,0.2277385561375541,0.0,0.2277385561375541,0.0,2,0,2,0
Spezielle Relativitätstheorie,1,stable,science,7138,4911,0.7004763239002523,0.5603810591202018,0.14009526478005044,0.2801905295601009,0.14009526478005044,4,1,1,1
Armenisch-iranische Beziehungen,0,contested,geography,1595,2922,1.2539184952978057,1.2539184952978057,0.0,1.2539184952978057,0.0,2,0,2,0
Absturz einer MiG-21 in Cottbus 1975,1,stable,geography,1838,2960,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Geschichte der Volksrepublik China,0,contested,geography,9016,4514,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Neukirchen (Gemeinde Altmünster),1,stable,geography,7451,4920,0.5368406925244934,0.5368406925244934,0.0,0.5368406925244934,0.40263051939337,4,0,4,3
Karl Haushofer,0,contested,culture,4928,7382,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Jüdisches Museum Westfalen,1,stable,culture,4843,7377,0.6194507536650836,0.6194507536650836,0.0,0.6194507536650836,0.20648358455502788,3,0,3,1
Mobile Jugendarbeit,0,contested,politics_history,3140,6853,0.6369426751592356,0.6369426751592356,0.0,0.6369426751592356,0.0,2,0,2,0
Mayaguez-Zwischenfall,1,stable,politics_history,3187,6859,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Elektrokonvulsionstherapie,0,contested,science,4584,4075,0.4363001745200698,0.2181500872600349,0.2181500872600349,0.4363001745200698,0.0,1,1,1,0
Spirostachys africana,1,stable,science,3902,4581,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Westdeutsche Studentenbewegung der 1960er Jahre,0,contested,geography,7487,6286,0.40069453719780956,0.2671296914652063,0.13356484573260316,0.40069453719780956,0.0,2,1,2,0
Schloss Beuggen,1,stable,geography,7303,6546,1.9170204025742847,1.5062303163083663,0.41079008626591806,1.6431603450636723,0.8215801725318361,11,3,9,6
Ernst Melchior,0,contested,culture,1935,7254,1.0335917312661498,1.0335917312661498,0.0,1.0335917312661498,0.5167958656330749,2,0,2,1
Vincenz Grimm,1,stable,culture,2044,6786,1.467710371819961,1.467710371819961,0.0,1.467710371819961,0.9784735812133072,3,0,3,2
Backhefe,0,contested,science,4108,6333,0.48685491723466406,0.48685491723466406,0.0,0.48685491723466406,0.0,2,0,2,0
Wellensittich,1,stable,science,4014,6270,0.4982561036372695,0.4982561036372695,0.0,0.4982561036372695,0.4982561036372695,2,0,2,2
Multikulturalismus,0,contested,geography,2029,8291,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Jiang Wei,1,stable,geography,1997,8341,1.00150225338007,1.00150225338007,0.0,1.00150225338007,1.00150225338007,2,0,2,2
Zeitfreiwilligenverband,0,contested,geography,1763,2659,2.268859897901305,1.7016449234259785,0.5672149744753262,2.268859897901305,1.1344299489506524,3,1,3,2
Soo Line High Bridge,1,stable,geography,1834,2461,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Witness Lee,0,contested,culture,6674,5700,1.198681450404555,0.2996703626011388,0.8990110878034162,0.8990110878034162,0.0,2,6,0,0
Curling,1,stable,culture,6780,5929,0.14749262536873156,0.14749262536873156,0.0,0.14749262536873156,0.0,1,0,1,0
Alois Windisch,0,contested,politics_history,1749,6198,0.0,0.0,0.0,0.0,0.0,0,0,0,0
U-Boot mit Marschflugkörpern,1,stable,politics_history,1823,6205,0.0,0.0,0.0,0.0,0.0,0,0,0,0
GEMA-freie Musik,0,contested,politics_history,4401,6836,3.1810952056350827,2.953874119518291,0.22722108611679165,3.1810952056350827,1.5905476028175414,13,1,13,7
Landmine,1,stable,politics_history,4332,6744,0.23084025854108955,0.23084025854108955,0.0,0.23084025854108955,0.0,1,0,1,0
Tuileriensturm,0,contested,geography,3280,6752,0.9146341463414634,0.9146341463414634,0.0,0.9146341463414634,0.9146341463414634,3,0,3,3
