term,frequency_contested,frequency_stable,density_sum_contested,density_sum_stable,article_hits_contested,article_hits_stable,total_frequency,total_density_sum,contribution_to_total_f1_pct,contested_minus_stable_density_sum
möglich,95.0,56.0,26.42859071793182,15.108263922858637,54.0,40.0,151.0,41.53685464079045,19.689361268239317,11.320326795073182
wohl,36.0,62.0,9.264079101446807,17.205789542939353,23.0,32.0,98.0,26.46986864438616,12.547286282730463,-7.941710441492546
vermutlich,21.0,57.0,4.798720256878649,18.32666743395609,16.0,30.0,78.0,23.12538769083474,10.961930474769211,-13.52794717707744
wahrscheinlich,18.0,52.0,4.758674806295689,17.120961631291177,15.0,29.0,70.0,21.879636437586868,10.371417623286423,-12.362286824995488
möglicherweise,18.0,47.0,5.054706149433417,14.085258484427001,14.0,31.0,65.0,19.13996463386042,9.072754343014696,-9.030552334993583
glauben,41.0,16.0,8.626503077442411,2.968594416458006,22.0,9.0,57.0,11.595097493900417,5.49632526276229,5.657908660984406
offenbar,9.0,27.0,2.4334142995314045,8.084637750406115,8.0,18.0,36.0,10.51805204993752,4.985782588506176,-5.65122345087471
erscheinen,17.0,20.0,4.267748851521851,4.339905600869542,12.0,16.0,37.0,8.607654452391394,4.080213093912727,-0.07215674934769023
angeblich,21.0,9.0,5.198202620116864,2.0280127270619284,14.0,7.0,30.0,7.226215347178792,3.4253812861644994,3.1701898930549355
vielleicht,14.0,11.0,3.295720882883041,3.6104911321229016,11.0,9.0,25.0,6.906212015005943,3.273692833375294,-0.3147702492398605
scheinen,4.0,13.0,1.068105762805327,4.602221503061015,4.0,9.0,17.0,5.670327265866343,2.6878569167620894,-3.534115740255688
unklar,6.0,17.0,1.036639882426404,4.208545286340793,5.0,14.0,23.0,5.245185168767197,2.486330431126328,-3.171905403914389
scheinbar,7.0,10.0,1.6362901602328082,2.318775724216469,7.0,9.0,17.0,3.955065884449277,1.8747861799371035,-0.6824855639836609
unsicher,2.0,9.0,0.9216817782564168,2.697956033089021,2.0,6.0,11.0,3.619637811345438,1.7157860686391913,-1.776274254832604
annehmen,7.0,5.0,1.901447827722112,1.2745400441380277,7.0,5.0,12.0,3.1759878718601398,1.5054864681831583,0.6269077835840844
anscheinend,4.0,6.0,0.8540174505914262,1.4956821638366864,3.0,5.0,10.0,2.3496996144281126,1.1138080863466489,-0.6416647132452602
womöglich,3.0,5.0,0.7009580441511042,1.5333951828340446,3.0,4.0,8.0,2.234353226985149,1.0591314211780607,-0.8324371386829404
unwahrscheinlich,3.0,6.0,0.5410495891048097,1.6731480490825739,3.0,5.0,9.0,2.2141976381873834,1.0495772391668026,-1.1320984599777641
fraglich,6.0,1.0,1.908868441146872,0.271370420624152,6.0,1.0,7.0,2.180238861771024,1.0334800497461947,1.6374980205227199
mutmaßlich,2.0,1.0,0.7473951546555064,0.13693002875530602,2.0,1.0,3.0,0.8843251834108125,0.41918913132335656,0.6104651259002004
vermuten,3.0,1.0,0.5896426843154752,0.18511662347278787,3.0,1.0,4.0,0.7747593077882631,0.36725255291703607,0.4045260608426873
vorgeblich,0.0,1.0,0.0,0.4837929366231253,0.0,1.0,1.0,0.4837929366231253,0.22932824332925583,-0.4837929366231253
bezweifeln,1.0,0.0,0.4830917874396135,0.0,1.0,0.0,1.0,0.4830917874396135,0.22899588355631487,0.4830917874396135
zweifelhaft,0.0,2.0,0.0,0.41259615031537206,0.0,2.0,2.0,0.41259615031537206,0.19557943738634365,-0.41259615031537206
schwerlich,1.0,0.0,0.2727024815925825,0.0,1.0,0.0,1.0,0.2727024815925825,0.12926683364100677,0.2727024815925825
nach meiner Einschätzung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meiner Meinung nach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nach meiner Ansicht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meines Erachtens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soweit ich weiß,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zweifeln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
