title,label,label_name,topic,word_count,age_days,f2_hyland_only
Evolutionärer Humanismus,0,contested,culture,4220,6283,0.7552870090634441
Ästhetische Theorie,1,stable,culture,3826,6252,0.3787878787878788
Franz Eibel,0,contested,geography,2499,5239,0.0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,5380,0.5681818181818181
Fluglärm,0,contested,science,8782,4818,0.0
Spezielle Relativitätstheorie,1,stable,science,7138,4911,0.5899705014749262
Armenisch-iranische Beziehungen,0,contested,geography,1595,2922,3.2102728731942216
Absturz einer MiG-21 in Cottbus 1975,1,stable,geography,1838,2960,0.0
Geschichte der Volksrepublik China,0,contested,geography,9016,4514,0.0
Neukirchen (Gemeinde Altmünster),1,stable,geography,7451,4920,0.3839508542906508
Karl Haushofer,0,contested,culture,4928,7382,0.0
Jüdisches Museum Westfalen,1,stable,culture,4843,7377,0.2892681515765114
Mobile Jugendarbeit,0,contested,politics_history,3140,6853,0.3762227238525207
Mayaguez-Zwischenfall,1,stable,politics_history,3187,6859,0.0
Elektrokonvulsionstherapie,0,contested,science,4584,4075,0.0
Spirostachys africana,1,stable,science,3902,4581,0.0
Westdeutsche Studentenbewegung der 1960er Jahre,0,contested,geography,7487,6286,0.16028209648982208
Schloss Beuggen,1,stable,geography,7303,6546,0.3948667324777887
Ernst Melchior,0,contested,culture,1935,7254,0.9049773755656109
Vincenz Grimm,1,stable,culture,2044,6786,0.0
Backhefe,0,contested,science,4108,6333,0.0
Wellensittich,1,stable,science,4014,6270,0.6002400960384153
Multikulturalismus,0,contested,geography,2029,8291,0.0
Jiang Wei,1,stable,geography,1997,8341,0.0
Zeitfreiwilligenverband,0,contested,geography,1763,2659,0.0
Soo Line High Bridge,1,stable,geography,1834,2461,0.0
Witness Lee,0,contested,culture,6674,5700,0.0
Curling,1,stable,culture,6780,5929,0.0
Alois Windisch,0,contested,politics_history,1749,6198,0.0
U-Boot mit Marschflugkörpern,1,stable,politics_history,1823,6205,0.0
GEMA-freie Musik,0,contested,politics_history,4401,6836,0.0
Landmine,1,stable,politics_history,4332,6744,0.2669514148424986
Tuileriensturm,0,contested,geography,3280,6752,0.0
Christian Precht,1,stable,geography,3186,6889,1.3218770654329146
Beichte,0,contested,culture,7520,5299,0.6743088334457181
Francis Bacon,1,stable,culture,7111,5114,0.350754121360926
Liber AL vel Legis,0,contested,culture,8853,7730,0.1709986320109439
Picket Fences – Tatort Gartenzaun,1,stable,culture,7688,7658,0.4825090470446321
"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",0,contested,geography,5111,565,0.0
