title,label,label_name,topic,word_count,age_days,f3_original_recomputed,f3_lexical_only,f3_vague_attribution_only,f3_vague_quantifiers_only,f3_evaluative_puffery_only,f3_konjunktiv_i_only,f3_no_generic_quantifiers,f3_attribution_plus_evaluative,f3_lexical_count,f3_vague_attribution_count,f3_vague_quantifier_count,f3_evaluative_puffery_count,f3_konjunktiv_i_count
Evolutionärer Humanismus,0,contested,culture,4220,6283,5.450236966824645,1.4218009478672986,0.0,0.9478672985781991,0.47393364928909953,4.028436018957346,4.739336492890995,4.502369668246446,6,0,4,2,17
Ästhetische Theorie,1,stable,culture,3826,6252,4.704652378463147,0.7841087297438578,0.0,0.7841087297438578,0.0,3.920543648719289,4.443282801881861,3.920543648719289,3,0,3,0,15
Franz Eibel,0,contested,geography,2499,5239,2.4009603841536613,2.4009603841536613,0.0,2.000800320128051,0.4001600640256103,0.0,0.8003201280512205,0.4001600640256103,6,0,5,1,0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,5380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Fluglärm,0,contested,science,8782,4818,3.5299476201320883,3.3022090639945345,0.0,3.1883397859257574,0.11386927806877704,0.2277385561375541,1.0248235026189934,0.3416078342063311,29,0,28,1,2
Spezielle Relativitätstheorie,1,stable,science,7138,4911,2.3816195012608574,1.8212384421406556,0.0,1.5410479125805547,0.2801905295601009,0.5603810591202018,0.980666853460353,0.8405715886803026,13,0,11,2,4
Armenisch-iranische Beziehungen,0,contested,geography,1595,2922,0.6269592476489029,0.6269592476489029,0.0,0.6269592476489029,0.0,0.0,0.6269592476489029,0.0,1,0,1,0,0
Absturz einer MiG-21 in Cottbus 1975,1,stable,geography,1838,2960,0.544069640914037,0.0,0.0,0.0,0.0,0.544069640914037,0.544069640914037,0.544069640914037,0,0,0,0,1
Geschichte der Volksrepublik China,0,contested,geography,9016,4514,2.5510204081632653,2.218278615794144,0.1109139307897072,2.1073646850044363,0.0,0.33274179236912155,0.9982253771073646,0.4436557231588288,20,1,19,0,3
Neukirchen (Gemeinde Altmünster),1,stable,geography,7451,4920,2.01315259696685,2.01315259696685,0.0,1.7447322507046035,0.2684203462622467,0.0,0.9394712119178633,0.2684203462622467,15,0,13,2,0
Karl Haushofer,0,contested,culture,4928,7382,2.435064935064935,1.6233766233766236,0.0,1.4204545454545454,0.20292207792207795,0.8116883116883118,1.8262987012987013,1.0146103896103895,8,0,7,1,4
Jüdisches Museum Westfalen,1,stable,culture,4843,7377,1.4453850918851952,1.4453850918851952,0.0,1.4453850918851952,0.0,0.0,0.41296716911005577,0.0,7,0,7,0,0
Mobile Jugendarbeit,0,contested,politics_history,3140,6853,2.229299363057325,1.910828025477707,0.0,1.910828025477707,0.0,0.3184713375796178,0.6369426751592356,0.3184713375796178,6,0,6,0,1
Mayaguez-Zwischenfall,1,stable,politics_history,3187,6859,2.196422968308754,1.5688735487919674,0.0,1.5688735487919674,0.0,0.6275494195167869,0.9413241292751804,0.6275494195167869,5,0,5,0,2
Elektrokonvulsionstherapie,0,contested,science,4584,4075,0.8726003490401396,0.6544502617801048,0.0,0.6544502617801048,0.0,0.2181500872600349,0.4363001745200698,0.2181500872600349,3,0,3,0,1
Spirostachys africana,1,stable,science,3902,4581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Westdeutsche Studentenbewegung der 1960er Jahre,0,contested,geography,7487,6286,3.873380526245492,2.2706023774542543,0.0,2.1370375317216506,0.13356484573260316,1.6027781487912383,2.2706023774542543,1.7363429945238413,17,0,16,1,12
Schloss Beuggen,1,stable,geography,7303,6546,1.0954402300424482,1.0954402300424482,0.0,1.0954402300424482,0.0,0.0,0.27386005751061204,0.0,8,0,8,0,0
Ernst Melchior,0,contested,culture,1935,7254,1.550387596899225,1.0335917312661498,0.0,1.0335917312661498,0.0,0.5167958656330749,1.0335917312661498,0.5167958656330749,2,0,2,0,1
Vincenz Grimm,1,stable,culture,2044,6786,1.467710371819961,1.467710371819961,0.0,0.9784735812133072,0.4892367906066536,0.0,0.9784735812133072,0.4892367906066536,3,0,2,1,0
Backhefe,0,contested,science,4108,6333,2.1908471275559886,1.4605647517039921,0.0,0.9737098344693281,0.48685491723466406,0.7302823758519961,1.2171372930866602,1.2171372930866602,6,0,4,2,3
Wellensittich,1,stable,science,4014,6270,1.7438963627304436,1.7438963627304436,0.0,1.7438963627304436,0.0,0.0,0.4982561036372695,0.0,7,0,7,0,0
Multikulturalismus,0,contested,geography,2029,8291,4.928536224741252,3.4499753573188765,0.0,3.4499753573188765,0.0,1.4785608674223756,1.4785608674223756,1.4785608674223756,7,0,7,0,3
Jiang Wei,1,stable,geography,1997,8341,2.00300450676014,1.5022533800701052,0.0,1.5022533800701052,0.0,0.500751126690035,1.00150225338007,0.500751126690035,3,0,3,0,1
Zeitfreiwilligenverband,0,contested,geography,1763,2659,2.268859897901305,2.268859897901305,0.0,2.268859897901305,0.0,0.0,1.1344299489506524,0.0,4,0,4,0,0
Soo Line High Bridge,1,stable,geography,1834,2461,1.6357688113413305,1.0905125408942202,0.0,1.0905125408942202,0.0,0.5452562704471101,0.5452562704471101,0.5452562704471101,2,0,2,0,1
Witness Lee,0,contested,culture,6674,5700,5.543901708121067,0.4495055439017081,0.0,0.4495055439017081,0.0,5.094396164219359,5.094396164219359,5.094396164219359,3,0,3,0,34
Curling,1,stable,culture,6780,5929,1.6224188790560472,1.6224188790560472,0.14749262536873156,1.3274336283185841,0.14749262536873156,0.0,0.4424778761061947,0.2949852507374631,11,1,9,1,0
Alois Windisch,0,contested,politics_history,1749,6198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
U-Boot mit Marschflugkörpern,1,stable,politics_history,1823,6205,0.5485463521667581,0.5485463521667581,0.0,0.5485463521667581,0.0,0.0,0.0,0.0,1,0,1,0,0
GEMA-freie Musik,0,contested,politics_history,4401,6836,2.2722108611679164,1.8177686889343332,0.0,1.8177686889343332,0.0,0.4544421722335833,2.2722108611679164,0.4544421722335833,8,0,8,0,2
Landmine,1,stable,politics_history,4332,6744,4.1551246537396125,3.9242843951985225,0.0,3.9242843951985225,0.0,0.23084025854108955,0.9233610341643582,0.23084025854108955,17,0,17,0,1
Tuileriensturm,0,contested,geography,3280,6752,4.573170731707317,3.658536585365854,0.0,3.3536585365853657,0.3048780487804878,0.9146341463414634,2.4390243902439024,1.2195121951219512,12,0,11,1,3
Christian Precht,1,stable,geography,3186,6889,3.138731952291274,3.138731952291274,0.0,2.824858757062147,0.31387319522912743,0.0,1.2554927809165097,0.31387319522912743,10,0,9,1,0
Beichte,0,contested,culture,7520,5299,3.0585106382978724,1.9946808510638296,0.0,1.8617021276595747,0.13297872340425532,1.0638297872340425,1.5957446808510638,1.196808510638298,15,0,14,1,8
Francis Bacon,1,stable,culture,7111,5114,4.781324708198566,2.109407959499367,0.0,1.8281535648994516,0.28125439459991564,2.6719167486991986,3.3750527351989876,2.953171143299114,15,0,13,2,19
Liber AL vel Legis,0,contested,culture,8853,7730,2.5979893821303515,0.9036484807409918,0.0,0.9036484807409918,0.0,1.6943409013893596,2.0332090816672315,1.6943409013893596,8,0,8,0,15
Picket Fences – Tatort Gartenzaun,1,stable,culture,7688,7658,3.1217481789802286,1.040582726326743,0.0,1.040582726326743,0.0,2.081165452653486,2.4713839750260145,2.081165452653486,8,0,8,0,16
"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",0,contested,geography,5111,565,2.934846409704559,0.782625709254549,0.0,0.782625709254549,0.0,2.15222070045001,2.15222070045001,2.15222070045001,4,0,4,0,11
Wälder und Wiesen bei Malsch,1,stable,geography,4405,804,0.9080590238365494,0.9080590238365494,0.0,0.9080590238365494,0.0,0.0,0.4540295119182747,0.0,4,0,4,0,0
Institut für Zeitgeschichte,0,contested,geography,3634,7983,3.026967528893781,1.6510731975784259,0.0,1.6510731975784259,0.0,1.375894331315355,2.476609796367639,1.375894331315355,6,0,6,0,5
Urnenfelderkultur,1,stable,geography,3438,8134,2.326934264107039,2.326934264107039,0.0,2.326934264107039,0.0,0.0,1.1634671320535195,0.0,8,0,8,0,0
