label_name,count_column,mean,median,min,p25,p75,max,zero_rate
contested,f4_current_biased_count,0.6126760563380281,0.0,0,0.0,1.0,7,0.6830985915492958
contested,f4_current_neutral_count,4.28169014084507,3.0,0,1.0,6.0,27,0.15492957746478872
contested,f4_current_total_count,4.894366197183099,3.0,0,1.0,7.0,28,0.14084507042253522
contested,f4_expanded_biased_count,2.7183098591549295,1.0,0,0.0,4.0,26,0.3873239436619718
contested,f4_expanded_neutral_count,4.28169014084507,3.0,0,1.0,6.0,27,0.15492957746478872
contested,f4_expanded_total_count,7.0,5.0,0,2.0,10.0,38,0.1056338028169014
stable,f4_current_biased_count,0.2887323943661972,0.0,0,0.0,0.0,7,0.8309859154929577
stable,f4_current_neutral_count,3.6549295774647885,2.0,0,1.0,5.0,24,0.21830985915492956
stable,f4_current_total_count,3.943661971830986,2.0,0,1.0,6.0,25,0.2112676056338028
stable,f4_expanded_biased_count,1.3098591549295775,0.0,0,0.0,1.0,16,0.5915492957746479
stable,f4_expanded_neutral_count,3.6549295774647885,2.0,0,1.0,5.0,24,0.21830985915492956
stable,f4_expanded_total_count,4.964788732394366,3.5,0,1.0,7.0,34,0.19014084507042253
