title,label,label_name,topic,word_count,age_days,f4_current_biased_count,f4_current_neutral_count,f4_current_total_count,f4_current_ratio_min3,f4_current_ratio_min2,f4_current_ratio_min1,f4_current_ratio_no_threshold,f4_current_smoothed_ratio,f4_current_biased_density,f4_current_neutral_density,f4_expanded_biased_count,f4_expanded_neutral_count,f4_expanded_total_count,f4_expanded_ratio_min3,f4_expanded_smoothed_ratio,f4_expanded_biased_density,f4_expanded_neutral_density
Evolutionärer Humanismus,0,contested,culture,4220,6283,0,7,7,0.0,0.0,0.0,0.0,0.0625,0.0,1.6587677725118484,3,7,10,0.3,0.3181818181818182,0.7109004739336493,1.6587677725118484
Ästhetische Theorie,1,stable,culture,3826,6252,0,6,6,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1.5682174594877156,9,6,15,0.6,0.59375,2.3523261892315737,1.5682174594877156
Franz Eibel,0,contested,geography,2499,5239,0,1,1,,,0.0,0.0,0.25,0.0,0.4001600640256103,0,1,1,,0.25,0.0,0.4001600640256103
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,5380,0,10,10,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,4.6992481203007515,0,10,10,0.0,0.045454545454545456,0.0,4.6992481203007515
Fluglärm,0,contested,science,8782,4818,0,10,10,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,1.1386927806877705,5,10,15,0.3333333333333333,0.34375,0.5693463903438852,1.1386927806877705
Spezielle Relativitätstheorie,1,stable,science,7138,4911,1,23,24,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.06,0.14009526478005044,3.2221910899411603,1,23,24,0.041666666666666664,0.06,0.14009526478005044,3.2221910899411603
Armenisch-iranische Beziehungen,0,contested,geography,1595,2922,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Absturz einer MiG-21 in Cottbus 1975,1,stable,geography,1838,2960,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,1.088139281828074,0,2,2,,0.16666666666666666,0.0,1.088139281828074
Geschichte der Volksrepublik China,0,contested,geography,9016,4514,1,9,10,0.1,0.1,0.1,0.1,0.13636363636363635,0.1109139307897072,0.9982253771073646,9,9,18,0.5,0.5,0.9982253771073646,0.9982253771073646
Neukirchen (Gemeinde Altmünster),1,stable,geography,7451,4920,0,9,9,0.0,0.0,0.0,0.0,0.05,0.0,1.20789155818011,0,9,9,0.0,0.05,0.0,1.20789155818011
Karl Haushofer,0,contested,culture,4928,7382,1,3,4,0.25,0.25,0.25,0.25,0.3,0.20292207792207795,0.6087662337662337,2,3,5,0.4,0.4166666666666667,0.4058441558441559,0.6087662337662337
Jüdisches Museum Westfalen,1,stable,culture,4843,7377,1,4,5,0.2,0.2,0.2,0.2,0.25,0.20648358455502788,0.8259343382201115,1,4,5,0.2,0.25,0.20648358455502788,0.8259343382201115
Mobile Jugendarbeit,0,contested,politics_history,3140,6853,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,1.2738853503184713,2,4,6,0.3333333333333333,0.35714285714285715,0.6369426751592356,1.2738853503184713
Mayaguez-Zwischenfall,1,stable,politics_history,3187,6859,0,0,0,,,,,0.5,0.0,0.0,2,0,2,,0.8333333333333334,0.6275494195167869,0.0
Elektrokonvulsionstherapie,0,contested,science,4584,4075,0,3,3,0.0,0.0,0.0,0.0,0.125,0.0,0.6544502617801048,2,3,5,0.4,0.4166666666666667,0.4363001745200698,0.6544502617801048
Spirostachys africana,1,stable,science,3902,4581,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Westdeutsche Studentenbewegung der 1960er Jahre,0,contested,geography,7487,6286,4,8,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34615384615384615,0.5342593829304126,1.0685187658608253,26,8,34,0.7647058823529411,0.7571428571428571,3.4726859890476827,1.0685187658608253
Schloss Beuggen,1,stable,geography,7303,6546,3,5,8,0.375,0.375,0.375,0.375,0.3888888888888889,0.41079008626591806,0.6846501437765301,5,5,10,0.5,0.5,0.6846501437765301,0.6846501437765301
Ernst Melchior,0,contested,culture,1935,7254,0,0,0,,,,,0.5,0.0,0.0,1,0,1,,0.75,0.5167958656330749,0.0
Vincenz Grimm,1,stable,culture,2044,6786,0,8,8,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,3.9138943248532287,0,8,8,0.0,0.05555555555555555,0.0,3.9138943248532287
Backhefe,0,contested,science,4108,6333,0,1,1,,,0.0,0.0,0.25,0.0,0.24342745861733203,0,1,1,,0.25,0.0,0.24342745861733203
Wellensittich,1,stable,science,4014,6270,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,0.996512207274539,0,4,4,0.0,0.1,0.0,0.996512207274539
Multikulturalismus,0,contested,geography,2029,8291,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,1.971414489896501,5,4,9,0.5555555555555556,0.55,2.464268112370626,1.971414489896501
Jiang Wei,1,stable,geography,1997,8341,1,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.500751126690035,1.00150225338007,2,2,4,0.5,0.5,1.00150225338007,1.00150225338007
Zeitfreiwilligenverband,0,contested,geography,1763,2659,0,0,0,,,,,0.5,0.0,0.0,2,0,2,,0.8333333333333334,1.1344299489506524,0.0
Soo Line High Bridge,1,stable,geography,1834,2461,0,1,1,,,0.0,0.0,0.25,0.0,0.5452562704471101,0,1,1,,0.25,0.0,0.5452562704471101
Witness Lee,0,contested,culture,6674,5700,0,11,11,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,1.648186994306263,2,11,13,0.15384615384615385,0.17857142857142858,0.2996703626011388,1.648186994306263
Curling,1,stable,culture,6780,5929,0,8,8,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,1.1799410029498525,0,8,8,0.0,0.05555555555555555,0.0,1.1799410029498525
Alois Windisch,0,contested,politics_history,1749,6198,0,0,0,,,,,0.5,0.0,0.0,1,0,1,,0.75,0.5717552887364208,0.0
U-Boot mit Marschflugkörpern,1,stable,politics_history,1823,6205,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
GEMA-freie Musik,0,contested,politics_history,4401,6836,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,0.9088843444671666,13,4,17,0.7647058823529411,0.75,2.953874119518291,0.9088843444671666
Landmine,1,stable,politics_history,4332,6744,0,3,3,0.0,0.0,0.0,0.0,0.125,0.0,0.6925207756232687,1,3,4,0.25,0.3,0.23084025854108955,0.6925207756232687
Tuileriensturm,0,contested,geography,3280,6752,1,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.3048780487804878,0.6097560975609756,1,2,3,0.3333333333333333,0.375,0.3048780487804878,0.6097560975609756
Christian Precht,1,stable,geography,3186,6889,0,5,5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,1.569365976145637,0,5,5,0.0,0.08333333333333333,0.0,1.569365976145637
Beichte,0,contested,culture,7520,5299,1,10,11,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.125,0.13297872340425532,1.3297872340425532,12,10,22,0.5454545454545454,0.5434782608695652,1.5957446808510638,1.3297872340425532
Francis Bacon,1,stable,culture,7111,5114,7,18,25,0.28,0.28,0.28,0.28,0.28846153846153844,0.9843903810997047,2.5312895513992406,16,18,34,0.47058823529411764,0.4714285714285714,2.250035156799325,2.5312895513992406
Liber AL vel Legis,0,contested,culture,8853,7730,2,25,27,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.08928571428571429,0.22591212018524795,2.823901502315599,6,25,31,0.1935483870967742,0.203125,0.6777363605557438,2.823901502315599
Picket Fences – Tatort Gartenzaun,1,stable,culture,7688,7658,2,7,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.2601456815816858,0.9105098855359002,10,7,17,0.5882352941176471,0.5833333333333334,1.3007284079084287,0.9105098855359002
"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",0,contested,geography,5111,565,1,27,28,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.05172413793103448,0.19565642731363725,5.282723537468206,11,27,38,0.2894736842105263,0.2948717948717949,2.15222070045001,5.282723537468206
Wälder und Wiesen bei Malsch,1,stable,geography,4405,804,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,0.4540295119182747,0,2,2,,0.16666666666666666,0.0,0.4540295119182747
Institut für Zeitgeschichte,0,contested,geography,3634,7983,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,0.550357732526142,3,2,5,0.6,0.5833333333333334,0.8255365987892129,0.550357732526142
