Variant,Column,Contested mean,Stable mean,Percent difference,NaN rate,n_pairs,mean_pair_diff,pct_contested_higher,wilcoxon_p,effect_r,logistic_coefficient,macro_f1_with_feature_topic,macro_f1_topic_baseline,macro_f1_contribution,n_model_rows
"Current ratio, min total >=3",f4_current_ratio_min3,0.1280662800893064,0.06224060626581635,105.76001217719913,0.47183098591549294,46,0.05262421360415706,39.130434782608695,0.04867928804046643,0.6830039927589974,-0.5102595108608668,0.513473140349948,0.5041386025090141,0.009334537840933854,150
"Current ratio, min total >=2",f4_current_ratio_min2,0.12495206537902563,0.060873209529626646,105.26610193857309,0.34507042253521125,66,0.06819827622975197,39.39393939393939,0.007496480175271513,0.7131908300539177,-0.48926818237759306,0.5356412248586894,0.506049154184924,0.029592070673765347,186
"Current ratio, min total >=1",f4_current_ratio_min1,0.1167647738290534,0.05675752177327808,105.72563622178951,0.176056338028169,97,0.07337889585392059,35.051546391752574,0.0015480702880800448,0.7661291264611787,-0.4161568065326041,0.5233306693306693,0.48037638210800404,0.042954287222665255,234
"Current ratio, no threshold",f4_current_ratio_no_threshold,0.1167647738290534,0.05675752177327808,105.72563622178951,0.176056338028169,97,0.07337889585392059,35.051546391752574,0.0015480702880800448,0.7661291264611787,-0.4161568065326041,0.5233306693306693,0.48037638210800404,0.042954287222665255,234
Current smoothed ratio,f4_current_smoothed_ratio,0.2533918535649356,0.24136030831453364,4.984889721334753,0.0,142,0.012031545250401867,47.183098591549296,0.5732981946047504,0.19199941457142164,-0.07243760170443889,0.45956016317854587,0.4220813198940707,0.03747884328447515,284
Current biased attribution density,f4_current_biased_density,0.1714766919094367,0.06313108906512475,171.620041302225,0.0,142,0.10834560284431195,28.169014084507044,0.0005897121381518109,0.8002111782204556,-0.49136500732495514,0.5258037829478208,0.4220813198940707,0.1037224630537501,284
Current neutral attribution density,f4_current_neutral_density,1.087736691098619,0.9643984281157512,12.789139764148693,0.0,142,0.12333826298286782,51.40845070422535,0.4496992831049351,0.13099025480106338,-0.1253648214745406,0.5027686829098601,0.4220813198940707,0.08068736301578938,284
"Expanded ratio, min total >=3",f4_expanded_ratio_min3,0.38014173132097956,0.2488124638965255,52.78243092807686,0.38380281690140844,57,0.14543357327921602,68.42105263157895,0.004608716187947656,0.4346281986343413,-0.5482279079767144,0.5287990078353855,0.4634426992112002,0.06535630862418529,175
Expanded smoothed ratio,f4_expanded_smoothed_ratio,0.40047775663213603,0.32536095498892015,23.087220596245697,0.0,142,0.0751168016432159,57.74647887323944,0.003189112684821487,0.3481110881014561,-0.3773742091624088,0.561420474143721,0.4220813198940707,0.13933915424965027,284
Expanded biased attribution density,f4_expanded_biased_density,0.7194631448195631,0.30463911951635114,136.16899385742113,0.0,142,0.414824025303212,52.816901408450704,1.1415732184521258e-05,0.5973599943341383,-0.6896605161677332,0.5932247130654158,0.4220813198940707,0.17114339317134508,284
Expanded neutral attribution density,f4_expanded_neutral_density,1.087736691098619,0.9643984281157512,12.789139764148693,0.0,142,0.12333826298286782,51.40845070422535,0.4496992831049351,0.13099025480106338,-0.1253648214745406,0.5027686829098601,0.4220813198940707,0.08068736301578938,284
