title,label,label_name,topic,word_count,age_days,n_classifiable_sentences,f5_original_reproduced,f5_original_biased_mean,f5_original_neutral_mean,f5_revised,f5_revised_biased_mean,f5_revised_neutral_mean,f5_revised_margin_mean
Evolutionärer Humanismus,0,contested,culture,4220,6283,112,0.9464,0.8699,0.1301,0.7054,0.7509,0.2491,0.5018
Ästhetische Theorie,1,stable,culture,3826,6252,82,0.9756,0.8849,0.1151,0.6098,0.7696,0.2304,0.5391
Franz Eibel,0,contested,geography,2499,5239,38,1.0,0.9488,0.0512,0.9474,0.8426,0.1574,0.6853
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,5380,62,1.0,0.9607,0.0393,0.9516,0.8357,0.1643,0.6714
Fluglärm,0,contested,science,8782,4818,280,1.0,0.9437,0.0563,0.9643,0.8508,0.1492,0.7015
Spezielle Relativitätstheorie,1,stable,science,7138,4911,231,0.9784,0.9147,0.0853,0.7273,0.7717,0.2283,0.5435
Armenisch-iranische Beziehungen,0,contested,geography,1595,2922,30,1.0,0.9126,0.0874,0.9,0.8464,0.1536,0.6929
Absturz einer MiG-21 in Cottbus 1975,1,stable,geography,1838,2960,30,1.0,0.9425,0.0575,0.9667,0.8407,0.1593,0.6814
Geschichte der Volksrepublik China,0,contested,geography,9016,4514,238,1.0,0.9341,0.0659,0.9832,0.8632,0.1368,0.7265
Neukirchen (Gemeinde Altmünster),1,stable,geography,7451,4920,242,1.0,0.9511,0.0489,0.9421,0.8399,0.1601,0.6798
Karl Haushofer,0,contested,culture,4928,7382,166,0.994,0.9421,0.0579,0.9096,0.8365,0.1635,0.673
Jüdisches Museum Westfalen,1,stable,culture,4843,7377,110,1.0,0.9374,0.0626,0.9545,0.8508,0.1492,0.7015
Mobile Jugendarbeit,0,contested,politics_history,3140,6853,76,0.9868,0.9056,0.0944,0.7237,0.7767,0.2233,0.5534
Mayaguez-Zwischenfall,1,stable,politics_history,3187,6859,65,1.0,0.9508,0.0492,0.9846,0.8618,0.1382,0.7236
Elektrokonvulsionstherapie,0,contested,science,4584,4075,70,0.9857,0.9089,0.0911,0.9286,0.8315,0.1685,0.6629
Spirostachys africana,1,stable,science,3902,4581,1,1.0,0.9299,0.0701,1.0,0.7974,0.2026,0.5947
Westdeutsche Studentenbewegung der 1960er Jahre,0,contested,geography,7487,6286,248,0.996,0.936,0.064,0.9153,0.8462,0.1538,0.6923
Schloss Beuggen,1,stable,geography,7303,6546,215,1.0,0.9563,0.0437,0.9721,0.8593,0.1407,0.7187
Ernst Melchior,0,contested,culture,1935,7254,36,1.0,0.9092,0.0908,0.8889,0.8264,0.1736,0.6529
Vincenz Grimm,1,stable,culture,2044,6786,69,1.0,0.9424,0.0576,0.8696,0.8381,0.1619,0.6762
Backhefe,0,contested,science,4108,6333,124,1.0,0.9383,0.0617,0.9435,0.8326,0.1674,0.6653
Wellensittich,1,stable,science,4014,6270,80,0.975,0.9365,0.0635,0.8875,0.821,0.179,0.642
Multikulturalismus,0,contested,geography,2029,8291,50,0.96,0.8868,0.1132,0.44,0.6926,0.3074,0.3851
