title,label,label_name,topic,hedging_density,causal_density,def_ratio,mtld,word_count,citation_count,section_count,unique_editors,age_days,recency_ratio,trends_avg,revert_count,talk_words,talk_editors
Hofbräuhaus am Platzl,0,contested,culture,3.0303,0.0,0.025,64.6667,1110,10,7,123,7676,0.005,13844,0,239,15
1982 Formula One World Championship,1,stable,culture,0.2248,2.0234,0.0,15.8265,13918,76,28,156,2717,0.09,13896,0,737,26
WHU – Otto Beisheim School of Management,0,contested,culture,0.0,0.0,0.1,37.6581,1211,30,9,211,6658,0.002,2625,0,1329,15
Antlia,1,stable,culture,0.0,1.5117,0.2469,66.5512,3995,71,11,180,6814,0.018,2670,1,616,17
Matías Ramón Mella,0,contested,politics,1.091,2.8366,0.0293,68.6896,9328,66,24,211,1142,0.166,1959,0,399,11
Black Christian Siriano gown of Billy Porter,1,stable,politics,0.6734,0.6734,0.0476,102.7611,3710,74,6,49,1549,0.0,1804,4,598,19
1999 Seattle WTO protests,0,contested,culture,0.7097,0.7097,0.0179,81.6209,4814,49,20,282,5702,0.066,9768,0,1650,34
Appalachian Spring,1,stable,culture,0.0,1.3996,0.0213,69.5419,7779,54,22,230,7131,0.008,9988,0,1290,32
United Nations Interim Force in Lebanon,0,contested,politics,1.133,2.4403,0.0126,60.6891,19827,371,41,170,1537,0.222,34190,0,844,33
Bad Romance,1,stable,politics,0.1696,0.5089,0.0255,41.1245,13190,297,25,213,1358,0.074,30001,1,2532,17
Chai Patel,0,contested,science,0.0,1.0493,0.0667,72.1886,1602,19,8,98,7502,0.018,517,0,285,18
Astonishing Stories,1,stable,science,0.0,3.0979,0.0,72.7867,3517,66,7,55,5570,0.0,518,0,958,13
Sheikh Mujibur Rahman,0,contested,politics,0.6011,1.288,0.0163,71.5886,24318,431,62,131,601,0.254,103216,2,125,10
Prince Albert of Saxe-Coburg and Gotha,1,stable,politics,0.3201,1.1202,0.0195,59.239,10144,86,21,214,1525,0.154,97383,0,5470,27
Inner Mongolian People's Party,0,contested,history,0.0,0.0,0.0286,55.3011,1643,11,12,133,7726,0.03,998,0,913,25
Black-breasted buttonquail,1,stable,history,0.0,2.455,0.1034,80.4039,2939,61,9,93,6976,0.003,908,0,115,17
Antoine Barnave,0,contested,people,0.0,1.2346,0.0423,71.892,3100,28,14,131,8532,0.028,2421,0,815,19
Sophie Blanchard,1,stable,people,1.45,1.45,0.0,71.2604,4111,56,9,267,7017,0.004,2696,0,571,27
History of Taiwan (1945–present),0,contested,politics,0.5568,3.5264,0.029,64.6483,7850,68,11,249,6379,0.048,8429,0,4936,22
1964 Illinois House of Representatives election,1,stable,politics,0.0,2.5729,0.0161,60.1605,13267,138,21,55,1122,0.0,7342,0,256,14
Social media use by Barack Obama,0,contested,politics,0.0,1.4085,0.04,68.0692,2744,69,13,205,5060,0.014,3428,0,789,24
Ivan Bagramyan,1,stable,politics,0.5242,2.8834,0.0,50.5108,7250,117,15,249,6265,0.064,3454,3,3315,38
Commons-based peer production,0,contested,politics,2.3943,4.7885,0.1346,95.8502,2994,39,9,240,7695,0.002,3136,2,1455,33
Battle of Albuera,1,stable,politics,1.005,2.6801,0.0085,89.279,10344,134,20,225,6659,0.008,3236,0,10496,25
Virtual sex,0,contested,science,0.0,6.0606,0.0169,85.9186,1805,24,6,234,8053,0.023,8155,2,1035,30
American white ibis,1,stable,culture,0.0,3.8835,0.0473,77.6882,9602,144,15,159,5244,0.012,8272,1,3719,15
Cloud seeding,0,contested,culture,1.371,4.6272,0.0185,95.2602,9618,139,43,312,2344,0.082,141963,2,575,34
Apollo 13,1,stable,culture,0.0,3.5365,0.0072,78.9416,13562,128,23,204,2255,0.124,138829,1,341,26
Todd Andrews,0,contested,people,0.7273,0.7273,0.0,76.5768,1995,18,10,135,8301,0.026,1404,0,249,14
"Afonso, Prince Imperial of Brazil",1,stable,people,0.0,2.1277,0.0135,58.6088,2832,0,13,128,5866,0.012,1527,5,2343,24
War Child (charity),0,contested,politics,0.0,3.9124,0.0577,67.2381,2060,19,9,264,7488,0.014,3374,0,556,19
1950 United States Senate election in California,1,stable,politics,0.6447,1.182,0.0089,70.0623,11283,0,23,175,6103,0.004,2889,0,4287,26
Albert Apponyi,0,contested,politics,1.1193,1.7909,0.0118,48.6197,8266,22,17,134,7476,0.092,1130,0,15,11
Black Friday (1945),1,stable,politics,0.0,1.7873,0.0179,67.8592,3776,66,11,186,7470,0.026,1104,0,828,20
Heintzman & Co.,0,contested,culture,0.0,0.0,0.0,54.6933,1039,6,6,63,7390,0.027,658,0,216,6
2001–02 South-West Indian Ocean cyclone season,1,stable,culture,0.0,4.4276,0.0361,46.5531,5617,124,21,110,6718,0.013,650,0,351,24
Siliguri Corridor,0,contested,geography,0.0,0.0,0.1351,68.465,2177,54,9,268,7768,0.088,17602,0,401,20
Japanese aircraft carrier Akagi,1,stable,politics,0.3049,3.8116,0.0034,83.899,9819,115,18,207,5226,0.012,17496,0,5090,19
Religious fanaticism,0,contested,culture,1.4848,5.9391,0.0877,90.9122,2281,37,10,292,6707,0.012,7321,0,4887,34
1964 European Nations' Cup final,1,stable,culture,0.0,0.4189,0.0094,72.6645,4304,25,13,118,6508,0.006,6820,0,665,20
Deerfield Academy,0,contested,politics,0.3945,1.1834,0.0882,65.3273,4654,110,20,206,3204,0.046,13777,0,2870,14
Sedna (dwarf planet),1,stable,politics,0.7564,7.5643,0.0429,86.9007,10693,225,13,176,1384,0.078,13665,1,14070,18
Instant Funk,0,contested,culture,0.0,1.4577,0.0,15.0474,1163,16,8,88,7896,0.007,879,0,101,9
Kroger Babb,1,stable,culture,0.811,1.6221,0.069,101.4444,3587,84,13,164,7146,0.002,918,0,3505,27
Bob McEwen,0,contested,politics,0.4371,1.7483,0.03,76.4673,7158,73,21,239,7396,0.008,997,0,5170,33
59th (Staffordshire) Infantry Division,1,stable,politics,0.1333,1.7331,0.0093,56.7799,8902,8,14,149,7268,0.007,952,1,1143,22
Vito Dumas,0,contested,culture,0.0,3.3557,0.0526,98.8271,1143,8,8,70,7415,0.071,315,0,135,9
Barbara L,1,stable,culture,0.0,0.0,0.0,51.0661,1958,39,9,65,6873,0.007,412,0,781,17
Dual power,0,contested,history,0.512,7.1685,0.0141,67.5879,3524,13,12,203,7976,0.008,6746,0,1751,31
Benty Grange hanging bowl,1,stable,history,0.2633,0.5266,0.0282,71.654,5410,0,11,49,2825,0.003,6377,2,8957,23
Larry Mendte,0,contested,history,1.3784,0.6892,0.025,65.0946,3847,48,18,224,6442,0.012,1515,1,1881,30
Battle of Concepción,1,stable,history,0.4847,0.4847,0.0,78.8985,2387,4,9,180,7633,0.008,1484,0,391,23
Radical Reformation,0,contested,history,1.1287,4.5147,0.025,66.9239,1393,17,9,190,7621,0.02,6372,0,4348,17
"George Calvert, 1st Baron Baltimore",1,stable,history,1.5978,1.5978,0.0319,83.3622,7224,126,12,294,5022,0.024,5775,0,3175,34
National Security Study Memorandum 200,0,contested,politics,0.0,3.4247,0.1053,62.6207,2229,15,8,105,7849,0.021,4432,0,752,15
Battle of Ticinus,1,stable,politics,0.271,1.084,0.0248,97.059,4445,0,11,197,7798,0.008,4436,0,1118,25
Lesson of Munich,0,contested,culture,1.2034,1.2034,0.0909,82.8,1378,23,5,75,7574,0.009,1784,0,1278,14
2008 Hungarian Grand Prix,1,stable,culture,0.0,1.4948,0.0,49.0243,7035,123,11,138,6474,0.0,1852,1,1642,19
Stuart Bowen,0,contested,politics,0.0,0.0,0.0159,60.7292,1082,13,5,116,7597,0.008,258,0,1707,17
27th Infantry Division Savska,1,stable,politics,0.2308,2.3079,0.0,57.5379,5404,0,18,50,4001,0.0,431,1,111,10
Time's Up!,0,contested,culture,2.5063,0.0,0.0,76.1047,1227,22,5,92,7477,0.02,212,2,600,16
"Accolade, Inc.",1,stable,culture,0.0,1.2547,0.0233,79.9076,4043,111,9,185,4949,0.012,149,3,1427,26
Orange Revolution,0,contested,politics,2.1858,2.1858,0.0125,66.4043,8278,126,23,290,4518,0.068,21475,0,3630,28
Baleen whale,1,stable,politics,0.3918,3.5266,0.0376,75.504,12650,163,25,216,3655,0.024,23617,0,3632,23
Economy of Uganda,0,contested,culture,0.706,1.7649,0.0124,10.3488,5017,87,13,234,9096,0.009,4551,1,218,15
"Abyssinia, Henry",1,stable,culture,0.0,3.7037,0.0303,93.4529,2542,26,6,255,7152,0.0,4491,1,289,35
Gandhi Peace Award,0,contested,politics,0.0,3.937,0.125,255.8588,1548,9,6,129,8225,0.0,1472,0,202,8
Battle of Utica (203 BC),1,stable,politics,0.0,0.5348,0.0276,83.5435,4546,0,15,102,6773,0.009,1530,0,494,19
Postwar Japan,0,contested,politics,0.2934,3.2277,0.0054,91.8558,3936,11,9,191,8330,0.003,6662,0,1049,21
