title,label,label_name,topic,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count,trends_avg
Kavirondo,0,contested,geography,0.0,0.0388,1,5,57,7388,0.012,0,6,5,2387,
Talk:1995 European Grand Prix,1,stable,culture,0.0,0.0192,0,6,22,7110,0.0,0,0,0,2656,
Paul Sereno,0,contested,people,0.0,0.0392,20,8,158,7556,0.069,0,601,17,1690,
Talk:2001 (Dr. Dre album),1,stable,culture,0.5513,0.0301,0,18,38,7607,0.0,0,0,0,2020,
Manele,0,contested,culture,0.8183,0.1231,22,16,244,6567,0.008,0,10527,26,1925,
Talk:24: Redemption,1,stable,culture,0.5128,0.0362,0,13,39,6496,0.023,0,0,0,2132,
Lewis Namier,0,contested,people,0.5297,0.0,40,11,213,7971,0.005,0,1498,26,2966,
Talk:1998–99 Manchester United F.C. season,1,stable,culture,0.7194,0.0355,0,14,45,7404,0.053,0,0,0,3050,
Jack Sarfatti,0,contested,people,1.5949,0.0278,18,8,193,5477,0.012,5,358,32,1135,
Talk:60 Hudson Street,1,stable,culture,0.0,0.0889,0,2,14,6145,0.0,0,0,0,1186,
Lu Sheng-yen,0,contested,politics,6.0606,0.04,10,10,175,6724,0.024,0,5644,26,1023,
Talk:189th Infantry Brigade (United States),1,stable,politics,0.0,0.0,0,12,16,6870,0.0,0,0,0,1081,
History of Taiwan (1945–present),0,contested,politics,0.5568,0.029,68,11,249,6380,0.048,0,4936,22,7850,
Talk:1996 Manchester bombing,1,stable,history,1.4799,0.0186,1,18,57,6073,0.021,0,0,0,7380,
Invitae,0,contested,culture,0.0,0.0541,17,5,58,7697,0.009,0,61,8,1177,
Talk:22 Short Films About Springfield,1,stable,culture,0.0,0.027,0,9,31,7646,0.043,0,0,0,1142,
Queen Rania of Jordan,0,contested,history,0.3577,0.0408,138,26,242,1733,0.064,1,1684,32,6155,
Talk:1920 Xalapa earthquake,1,stable,science,0.1903,0.0388,0,8,13,1940,0.011,0,0,0,5930,
One-Two-Go Airlines,0,contested,culture,1.3228,0.0,26,6,247,6913,0.004,1,326,21,1504,
Talk:1990 New York Giants season,1,stable,culture,0.0,0.0059,0,10,22,6913,0.0,0,0,0,1537,
Todd Andrews,0,contested,people,0.7273,0.0,18,10,135,8301,0.026,0,249,14,1995,44.8
Talk:7 (New York City Subway service),1,stable,culture,0.0,0.0099,0,10,39,7601,0.0,0,0,0,1646,
Siliguri Corridor,0,contested,geography,0.0,0.1351,54,9,268,7769,0.088,0,401,20,2177,
Talk:17th Airborne Division (United States),1,stable,politics,0.0,0.0,9,7,24,7408,0.0,0,0,0,2309,
Shabdangal,0,contested,history,0.8726,0.0806,2,5,33,7478,0.048,0,394,9,1224,
Talk:9th millennium BC,1,stable,history,1.1737,0.1136,0,5,29,7615,0.02,0,0,0,1004,
Heintzman & Co.,0,contested,culture,0.0,0.0,6,6,63,7391,0.027,0,216,6,1039,
Talk:30 Rockefeller Plaza,1,stable,culture,0.0,0.0182,1,1,43,7437,0.02,0,0,0,1119,
Freedomites,0,contested,culture,0.0,0.0,53,7,116,7557,0.007,0,1397,23,2438,3.9
Talk:12 oz. Mouse,1,stable,culture,2.2915,0.0875,0,20,54,7610,0.01,0,0,0,2414,
Search fund,0,contested,culture,0.0,0.025,14,7,101,7367,0.055,0,185,5,1186,
Talk:7 Subway Extension,1,stable,culture,0.0,0.0079,0,12,34,7395,0.0,0,0,0,1224,
