title,label,label_name,topic,topic_specific,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count,trends_avg
Lewis Namier,0,contested,geography,Geography.Regions.Europe.Europe*,0.5297,0.0,40,11,213,7976,0.005,0,1498,26,2966,2.5
Sengkang MRT/LRT station,1,stable,geography,Geography.Regions.Asia.Southeast_Asia,0.0,0.044,45,11,196,7840,0.021,0,462,15,2583,
New Jersey State Police,0,contested,politics_history,History_and_Society.Politics_and_government,1.5763,0.0451,55,26,230,5504,0.03,0,1381,18,4865,
Wild and Free-Roaming Horses and Burros Act of 1971,1,stable,politics_history,History_and_Society.Politics_and_government,2.7043,0.0274,103,9,71,5439,0.007,0,2109,12,5744,
Antoine Barnave,0,contested,geography,Geography.Regions.Europe.Europe*,0.0,0.0423,28,14,131,8538,0.028,0,815,19,3100,
Béla I of Hungary,1,stable,geography,Geography.Regions.Europe.Eastern_Europe,1.7411,0.0,16,10,206,7943,0.012,0,374,19,3508,
History of Taiwan (1945–present),0,contested,geography,Geography.Regions.Asia.East_Asia,0.5568,0.029,68,11,249,6384,0.048,0,4936,22,7850,
Patricia Bullrich,1,stable,geography,Geography.Regions.Americas.South_America,0.484,0.0196,95,14,151,6228,0.034,0,847,15,7403,
Social media use by Barack Obama,0,contested,geography,Geography.Regions.Americas.North_America,0.0,0.04,69,13,205,5066,0.014,0,789,24,2744,
Matteo I Visconti,1,stable,geography,Geography.Regions.Europe.Europe*,0.625,0.0141,0,11,54,5166,0.027,1,1152,13,2362,
Chʼortiʼ language,0,contested,culture,Culture.Linguistics,0.0,0.0746,28,18,125,7707,0.009,0,589,21,3098,
Trish (Devil May Cry),1,stable,culture,Culture.Media.Video_games,0.0,0.0421,53,7,118,7686,0.011,0,23,9,3076,
Queen Rania of Jordan,0,contested,culture,Culture.Biography.Biography*,0.3577,0.0408,138,26,242,1738,0.064,1,1684,31,6155,
"Black Country, New Road",1,stable,culture,Culture.Media.Music,0.0,0.0306,134,13,263,1901,0.08,0,26,9,5633,
Chinese people in Myanmar,0,contested,geography,Geography.Regions.Asia.Asia*,0.2842,0.0364,124,31,128,2558,0.026,0,49,8,7016,
Tolkien and race,1,stable,culture,Culture.Media.Media*,0.5714,0.0,63,18,100,2074,0.064,0,189,6,5832,
Cloud seeding,0,contested,other,,1.371,0.0185,139,43,313,2348,0.086,2,575,34,9621,
Jaws 2,1,stable,culture,Culture.Media.Media*,0.2376,0.0337,136,19,293,2739,0.058,2,1450,31,7908,
Todd Andrews,0,contested,geography,Geography.Regions.Europe.Northern_Europe,0.7273,0.0,18,10,135,8306,0.026,0,249,14,1995,44.9
Percy Storkey,1,stable,geography,Geography.Regions.Oceania,0.0,0.0,13,8,62,7826,0.0,0,76,20,1970,
"Cornell University College of Architecture, Art, and Planning",0,contested,geography,Geography.Regions.Americas.North_America,0.0,0.0381,36,15,122,7786,0.0,0,116,8,2477,
Eystein Magnusson,1,stable,geography,Geography.Regions.Europe.Northern_Europe,0.0,0.0,60,7,100,7827,0.016,1,1972,23,2555,
The Dartmouth Review,0,contested,geography,Geography.Regions.Americas.North_America,2.4661,0.0294,111,14,241,7069,0.008,6,7095,30,5675,40.2
Q26 (New York City bus),1,stable,geography,Geography.Regions.Americas.North_America,0.0,0.0,74,9,33,7039,0.022,1,58,9,4709,
Sydney Hilton Hotel bombing,0,contested,geography,Geography.Regions.Oceania,0.5938,0.0,66,12,155,5861,0.048,2,16034,15,4125,
Battle of the Dalmatian Channels,1,stable,geography,Geography.Regions.Europe.Europe*,0.31,0.0056,0,9,68,5714,0.02,2,1280,20,4147,
Religious segregation,0,contested,culture,Culture.Philosophy_and_religion,0.0,0.044,64,13,289,6657,0.004,0,13285,24,4507,
Antonella Barba,1,stable,culture,Culture.Media.Media*,0.5817,0.0114,146,11,164,6760,0.0,0,1505,34,3992,
Caracazo,0,contested,geography,Geography.Regions.Americas.South_America,1.4065,0.022,101,20,207,7628,0.018,1,3838,18,4908,
Fort Ricasoli,1,stable,geography,Geography.Regions.Europe.Europe*,0.0,0.1024,97,17,86,7571,0.023,1,246,17,4421,
Kemalism,0,contested,politics_history,History_and_Society.Politics_and_government,0.8126,0.106,75,23,203,1745,0.014,0,10922,23,6879,
2024 Rose Bowl,1,stable,culture,Culture.Sports,0.0,0.0208,62,14,86,1039,0.026,0,181,8,5843,
Gandhi Peace Award,0,contested,politics_history,History_and_Society.Military_and_warfare,0.0,0.125,9,6,129,8230,0.0,0,201,9,1548,16.9
Wild Barts Can't Be Broken,1,stable,culture,Culture.Media.Television,0.0,0.2273,23,6,290,7506,0.004,0,203,16,1660,
Postwar Japan,0,contested,geography,Geography.Regions.Asia.Asia*,0.2934,0.0054,11,9,191,8336,0.003,0,1049,21,3936,
Lees Ferry,1,stable,geography,Geography.Regions.Americas.North_America,0.0,0.0505,64,12,130,8038,0.004,0,425,23,4262,
PA Consulting Group,0,contested,politics_history,History_and_Society.Business_and_economics,0.0,0.0492,67,10,201,6880,0.002,1,6430,24,2445,
Erzherzog Karl-class battleship,1,stable,politics_history,History_and_Society.Military_and_warfare,0.0,0.0,1,11,82,6865,0.01,0,176,18,2423,
Ferenc Gyurcsány,0,contested,geography,Geography.Regions.Europe.Eastern_Europe,0.7508,0.0242,55,16,256,6072,0.048,1,7984,32,3896,8.7
1998 Dublin North by-election,1,stable,geography,Geography.Regions.Europe.Northern_Europe,0.834,0.0,61,17,19,6692,0.272,0,24,6,4035,
Jigme Singye Wangchuck,0,contested,geography,Geography.Regions.Asia.South_Asia,0.0,0.0207,153,33,209,3077,0.036,3,1488,32,8023,
2016 Monaco GP2 Series round,1,stable,culture,Culture.Sports,0.0,0.0,102,12,41,3635,0.011,0,23,5,6691,
